ID^Time^WindDirection^WindSpeed
1646^2020-09-03 18:10:04 PM^(-0.3, 0.3, 0.0)^23.4495
1647^2020-09-03 18:10:09 PM^(-0.7, 0.3, 0.0)^2.313484
1648^2020-09-03 18:10:14 PM^(0.6, -0.2, 0.0)^7.744251
1649^2020-09-03 18:10:19 PM^(-0.5, 0.1, 0.0)^26.46607
1650^2020-09-03 18:10:24 PM^(-0.5, 0.0, 0.0)^5.867568
1651^2020-09-03 18:10:29 PM^(-0.9, 0.1, 0.0)^21.28357
1652^2020-09-03 18:10:34 PM^(0.1, -0.9, 0.0)^0.8612895
1653^2020-09-03 18:10:39 PM^(-0.3, -0.1, 0.0)^16.18028
1654^2020-09-03 18:10:44 PM^(0.9, -0.1, 0.0)^21.99107
1655^2020-09-03 18:10:49 PM^(-0.4, 0.1, 0.0)^17.22207
1656^2020-09-03 18:10:54 PM^(-0.1, -0.2, 0.0)^9.466226
1657^2020-09-03 18:10:59 PM^(0.0, 0.7, 0.0)^21.6812
1658^2020-09-03 18:11:04 PM^(-0.2, -0.8, 0.0)^9.385766
1659^2020-09-03 18:11:09 PM^(-0.5, -0.6, 0.0)^17.09549
1660^2020-09-03 18:33:29 PM^(0.1, 1.0, 0.0)^9.956462
1661^2020-09-03 18:33:34 PM^(-0.8, 0.5, 0.0)^14.04458
1662^2020-09-03 18:33:39 PM^(-0.5, -0.7, 0.0)^28.23453
1663^2020-09-03 18:37:59 PM^(0.6, -0.7, 0.0)^27.20864
1664^2020-09-03 18:38:04 PM^(1.0, -0.1, 0.0)^0.8557034
1665^2020-09-03 18:38:09 PM^(-0.6, 0.7, 0.0)^14.17319
1666^2020-09-03 18:38:14 PM^(-0.4, 0.5, 0.0)^18.18532
1667^2020-09-03 18:38:19 PM^(-0.6, -0.5, 0.0)^14.58249
1668^2020-09-03 18:38:24 PM^(-0.3, 0.0, 0.0)^20.7197
1669^2020-09-03 18:38:29 PM^(-0.6, 0.7, 0.0)^26.03283
1670^2020-09-03 18:38:34 PM^(0.8, 0.1, 0.0)^18.59349
1671^2020-09-03 18:38:39 PM^(-0.7, -0.7, 0.0)^19.14246
1672^2020-09-03 18:38:44 PM^(0.4, -0.2, 0.0)^3.237301
1673^2020-09-03 18:38:49 PM^(0.3, -0.7, 0.0)^25.63549
1674^2020-09-03 18:38:54 PM^(-0.5, 0.7, 0.0)^27.28137
1675^2020-09-03 18:38:59 PM^(0.7, -0.7, 0.0)^18.04069
1676^2020-09-03 18:39:04 PM^(0.8, 0.2, 0.0)^8.692805
1677^2020-09-03 18:39:09 PM^(0.1, 0.6, 0.0)^24.94486
1678^2020-09-03 18:39:14 PM^(0.6, 0.2, 0.0)^3.847611
1679^2020-09-03 18:39:19 PM^(0.8, -0.4, 0.0)^22.87679
1680^2020-09-03 18:39:24 PM^(0.5, 0.7, 0.0)^12.05976
1681^2020-09-03 18:43:13 PM^(0.9, 0.2, 0.0)^13.69776
1682^2020-09-03 18:43:18 PM^(-0.7, -0.3, 0.0)^19.46074
1683^2020-09-03 18:43:23 PM^(-0.2, 0.6, 0.0)^0.7445133
1684^2020-09-03 18:43:28 PM^(0.7, 0.0, 0.0)^9.369008
1685^2020-09-03 18:43:33 PM^(-0.7, 0.6, 0.0)^6.188632
1686^2020-09-03 18:43:38 PM^(-0.6, 0.0, 0.0)^11.39726
1687^2020-09-03 18:43:43 PM^(0.4, -0.7, 0.0)^3.690902
1688^2020-09-03 18:43:48 PM^(0.4, 0.2, 0.0)^22.81871
1689^2020-09-03 18:43:53 PM^(0.7, -0.5, 0.0)^4.998797
1690^2020-09-09 12:59:59 PM^(0.4, 0.2, 0.0)^2.794815
1691^2020-09-09 13:00:04 PM^(-0.7, 0.5, 0.0)^24.59373
1692^2020-09-09 13:00:09 PM^(-0.9, -0.3, 0.0)^5.602294
1693^2020-09-09 13:00:14 PM^(-0.8, 0.4, 0.0)^1.172186
1694^2020-09-09 13:00:19 PM^(-0.8, -0.2, 0.0)^14.15882
1695^2020-09-09 13:00:24 PM^(0.6, 0.4, 0.0)^28.95453
1696^2020-09-09 13:00:29 PM^(0.9, -0.4, 0.0)^16.5174
1697^2020-09-09 13:00:34 PM^(0.3, 0.3, 0.0)^13.37829
1698^2020-09-09 13:00:39 PM^(-0.6, 0.2, 0.0)^21.98209
1699^2020-09-09 13:00:44 PM^(0.3, 0.0, 0.0)^5.603467
1700^2020-09-09 13:00:49 PM^(0.9, 0.2, 0.0)^5.837492
1701^2020-09-09 13:00:54 PM^(-0.5, 0.2, 0.0)^11.95624
1702^2020-09-09 13:00:59 PM^(-0.3, 0.4, 0.0)^16.75741
1703^2020-09-09 13:01:04 PM^(-0.4, -0.2, 0.0)^9.973489
1704^2020-09-09 13:01:09 PM^(0.3, -0.3, 0.0)^3.852439
1705^2020-09-09 13:01:14 PM^(0.1, 0.4, 0.0)^23.25215
1706^2020-09-09 13:01:19 PM^(-0.3, -0.6, 0.0)^28.33304
1707^2020-09-09 13:01:24 PM^(0.3, -0.9, 0.0)^18.52456
1708^2020-09-09 13:01:29 PM^(0.9, 0.0, 0.0)^14.27367
1709^2020-09-09 13:01:34 PM^(-0.9, 0.1, 0.0)^25.84859
1710^2020-09-09 13:01:39 PM^(0.2, 1.0, 0.0)^15.5749
1711^2020-09-09 13:01:44 PM^(0.4, -0.5, 0.0)^11.48917
1712^2020-09-09 13:01:49 PM^(0.2, -0.7, 0.0)^0.8043122
1713^2020-09-09 13:01:54 PM^(0.6, 0.3, 0.0)^9.357256
1714^2020-09-09 13:01:59 PM^(0.0, 0.5, 0.0)^15.86037
1715^2020-09-09 13:02:04 PM^(-0.6, -0.1, 0.0)^2.250677
1716^2020-09-09 13:02:09 PM^(0.5, 0.8, 0.0)^9.887358
1717^2020-09-09 13:02:14 PM^(-0.7, -0.3, 0.0)^15.96222
1718^2020-09-09 13:11:25 PM^(0.6, -0.6, 0.0)^14.46236
1719^2020-09-09 13:11:30 PM^(-0.1, -0.3, 0.0)^28.06898
1720^2020-09-09 13:11:35 PM^(0.2, -0.7, 0.0)^13.74421
1721^2020-09-09 13:11:40 PM^(-0.3, 0.0, 0.0)^11.98034
1722^2020-09-09 13:11:45 PM^(-0.6, 0.6, 0.0)^25.24261
1723^2020-09-09 13:11:50 PM^(-0.2, -0.3, 0.0)^29.38068
1724^2020-09-09 13:11:55 PM^(-0.6, 0.4, 0.0)^26.33085
1725^2020-09-09 13:12:00 PM^(0.0, 0.6, 0.0)^5.575887
1726^2020-09-09 13:12:05 PM^(0.0, -0.5, 0.0)^13.86996
1727^2020-09-09 13:12:10 PM^(-0.9, 0.4, 0.0)^21.18884
1728^2020-09-09 13:12:15 PM^(-0.8, -0.3, 0.0)^29.9807
1729^2020-09-09 13:12:20 PM^(-0.4, 0.7, 0.0)^14.62298
1730^2020-09-09 13:12:25 PM^(0.0, 0.1, 0.0)^14.08548
1731^2020-09-09 13:12:30 PM^(0.7, 0.4, 0.0)^0.9547198
1732^2020-09-09 13:12:35 PM^(-0.2, 0.1, 0.0)^5.492899
1733^2020-09-09 13:12:40 PM^(-0.5, -0.6, 0.0)^8.485402
1734^2020-09-09 13:12:45 PM^(0.9, 0.3, 0.0)^24.15909
1735^2020-09-09 13:12:50 PM^(0.2, 0.0, 0.0)^15.74985
1736^2020-09-09 13:12:55 PM^(0.0, 0.9, 0.0)^3.676382
1737^2020-09-09 13:13:00 PM^(0.2, -1.0, 0.0)^14.56225
1738^2020-09-09 13:13:05 PM^(-0.7, 0.1, 0.0)^14.30602
1739^2020-09-09 13:13:10 PM^(0.1, -0.8, 0.0)^26.18692
1740^2020-09-09 13:13:15 PM^(-0.9, -0.1, 0.0)^15.11543
1741^2020-09-09 13:21:45 PM^(-0.2, 0.1, 0.0)^15.07773
1742^2020-09-09 13:21:50 PM^(-0.2, 1.0, 0.0)^5.574017
1743^2020-09-09 13:21:55 PM^(-0.3, -0.4, 0.0)^16.65084
1744^2020-09-09 13:22:00 PM^(-0.7, -0.5, 0.0)^5.270991
